Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Philippines,PH,PHL,"Climate related disasters frequency, Number of Disasters: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,
Philippines,PH,PHL,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",1.0,3.0,4.0,1.0,,2.0,1.0,,,2.0,3.0,3.0,3.0,3.0,4.0,6.0,1.0,1.0,,4.0,3.0,3.0,4.0,1.0,3.0,2.0,6.0,5.0,8.0,8.0,9.0,15.0,8.0,5.0,3.0,5.0,2.0,3.0,1.0,1.0,,5.0,2.0,4.0,1.0
Philippines,PH,PHL,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,1.0,,,,,,,2.0,3.0,,,,1.0,2.0,,2.0,,,4.0,1.0,,,1.0,1.0,,3.0,,1.0,1.0,1.0,3.0,1.0,,,,,,,,1.0,,1.0,,2.0
Philippines,PH,PHL,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",6.0,8.0,9.0,4.0,4.0,3.0,6.0,5.0,6.0,7.0,5.0,6.0,4.0,6.0,11.0,7.0,2.0,3.0,4.0,8.0,6.0,6.0,6.0,8.0,8.0,2.0,10.0,8.0,11.0,14.0,3.0,12.0,9.0,8.0,9.0,10.0,8.0,8.0,7.0,7.0,6.0,8.0,6.0,7.0,11.0
Philippines,PH,PHL,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",8.0,12.0,13.0,6.0,4.0,5.0,7.0,6.0,8.0,12.0,9.0,9.0,7.0,10.0,17.0,13.0,5.0,4.0,6.0,16.0,10.0,9.0,11.0,10.0,12.0,4.0,19.0,14.0,20.0,23.0,13.0,30.0,18.0,13.0,12.0,16.0,10.0,11.0,8.0,9.0,7.0,13.0,9.0,11.0,14.0
Philippines,PH,PHL,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,PH,PHL,"Climate related disasters frequency, Number of People Affected: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,1002100.0,,,1691060.0,,,,1002100.0,,,254282.0,,,,,,,,2600000.0,,,,0.0,,,,,0.0,,,,,,,,181687.0,,,,16000.0,,,,,
Philippines,PH,PHL,"Climate related disasters frequency, Number of People Affected: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,25980.0,309695.0,297000.0,1835.0,,5444.0,615.0,,,307511.0,712736.0,823.0,1053832.0,348084.0,811583.0,129185.0,96000.0,105000.0,,2105016.0,165643.0,91300.0,155567.0,3500.0,21694.0,193046.0,732509.0,86747.0,1602889.0,1083276.0,2846935.0,2218828.0,4614628.0,4500338.0,145130.0,231309.0,2563098.0,1842000.0,180000.0,45000.0,,345356.0,601971.0,3548610.0,1280014.0
Philippines,PH,PHL,"Climate related disasters frequency, Number of People Affected: Landslide",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,0.0,,,,,,,0.0,1277.0,,,,0.0,73843.0,,8.0,,,45.0,2838.0,,,217988.0,6.0,,14651.0,,5028.0,16.0,927.0,889.0,23.0,,,,,,,,11.0,,11712.0,,2967382.0
Philippines,PH,PHL,"Climate related disasters frequency, Number of People Affected: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,1866965.0,1101545.0,1019615.0,170530.0,4535206.0,1603974.0,1242736.0,3237632.0,4517505.0,2136865.0,6319583.0,1571865.0,1046294.0,3581327.0,1991217.0,3276812.0,37628.0,366770.0,7322999.0,1387290.0,6187431.0,3450437.0,982194.0,466261.0,3241278.0,20011.0,7821808.0,1909794.0,6851979.0,12221663.0,2595545.0,9468676.0,7560480.0,17944571.0,13068983.0,3606205.0,2971512.0,2969448.0,9348889.0,6025139.0,5374740.0,12417263.0,6654242.0,6878482.0,23941101.0
Philippines,PH,PHL,"Climate related disasters frequency, Number of People Affected: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,2895045.0,1411240.0,1316615.0,1863425.0,4535206.0,1609418.0,1243351.0,4239732.0,4517505.0,2445653.0,7286601.0,1572688.0,2100126.0,3929411.0,2876643.0,3405997.0,133636.0,471770.0,9923299.0,3492351.0,6355912.0,3541737.0,1137761.0,687749.0,3262978.0,213057.0,8568968.0,1996541.0,8459896.0,13304955.0,5443407.0,11688393.0,12175131.0,22444909.0,13214113.0,4019201.0,5534610.0,4811448.0,9528889.0,6086139.0,5374751.0,12762619.0,7267925.0,10427092.0,28188497.0
Philippines,PH,PHL,"Climate related disasters frequency, Number of People Affected: Wildfire",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,
