Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Climate Influence,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Philippines,PH,PHL,Artificial surfaces (including urban and associated areas),1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC; IMF staff calculations.",ECCCS,Artificial Surfaces (Including Urban and Associated Areas),"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Artificial Surfaces (Including Urban and Associated Areas)",Climate altering,75.01,76.6,77.96,79.5,81.37,83.07,84.68,86.34,88.05,90.43,91.8,92.68,93.21,96.25,99.56,103.55,108.75,114.19,119.88,126.26,132.65,147.26,162.03,170.43,174.37,175.36,176.27,178.46,182.84,187.6,196.1
Philippines,PH,PHL,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,110.3257553038,109.88221113959,109.433109415762,109.758260104599,108.052197240636,105.358781427785,104.722991516997,104.019419400026,103.141438335579,102.551592448332,102.111110081834,101.66356865411,102.054527794314,100.91047168594,101.58949558798,101.877837024878,102.490166671722,102.258190135581,98.60513257136788,99.8920104344956,100.728029952837,100.648620016399,100.206761965266,100.0,99.8079755068059,99.54552711245589,99.4048618868884,99.321573138653,99.179478577319,98.91391684102231,98.9609822761285
Philippines,PH,PHL,Grassland,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC; IMF staff calculations.",ECCCG,Grassland,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Grassland",Climate regulating,2129.5,2129.59,2129.67,2152.64,2151.63,2153.02,2151.43,2150.01,2141.89,2140.72,2143.85,2142.03,2136.3,2135.81,2136.07,2131.07,2125.75,2120.42,2120.86,2122.04,2124.01,2127.16,2130.76,2131.27,2136.23,2138.54,2142.57,2149.85,2152.71,2149.5,2147.23
Philippines,PH,PHL,Herbaceous crops,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC; IMF staff calculations.",ECCCH,Herbaceous Crops,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Herbaceous Crops",Climate altering,7319.32,7288.0,7256.54,7276.79,7160.58,6978.36,6934.14,6885.32,6824.77,6782.85,6751.96,6721.08,6746.76,6667.04,6709.24,6724.58,6760.42,6739.43,6488.9,6568.77,6618.41,6598.48,6554.1,6531.84,6515.03,6496.45,6486.11,6478.34,6464.49,6441.88,6436.53
Philippines,PH,PHL,Inland water bodies,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC; IMF staff calculations.",ECCCW,Inland Water Bodies,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Inland Water Bodies",Climate regulating,942.19,942.17,942.15,908.17,905.75,905.24,905.23,905.31,904.26,903.82,902.51,901.76,901.54,900.52,898.44,896.23,896.59,897.4,896.04,894.52,892.25,891.47,851.27,851.16,851.18,851.39,851.32,851.26,852.43,852.98,853.4
Philippines,PH,PHL,Mangroves,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC; IMF staff calculations.",ECCCM,Mangroves,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Mangroves",Climate regulating,544.75,544.7,544.66,553.26,556.47,559.09,560.72,563.53,564.52,564.77,565.47,565.87,568.08,568.97,570.61,572.3,575.49,576.5,576.59,577.31,578.87,578.52,593.54,593.22,592.37,592.14,591.44,590.11,587.75,586.2,585.58
Philippines,PH,PHL,Permanent snow and glaciers,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC; IMF staff calculations.",ECCCL,Permanent Snow and Glaciers,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Permanent Snow and Glaciers",Climate regulating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,PH,PHL,Shrub-covered areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC; IMF staff calculations.",ECCCC,Shrub-Covered Areas,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Shrub-Covered Areas",Climate regulating,1404.54,1404.53,1404.51,1420.13,1420.29,1422.56,1422.43,1423.91,1419.3,1418.71,1421.05,1419.18,1411.11,1409.06,1405.52,1401.88,1398.47,1395.57,1395.99,1396.92,1398.36,1400.57,1406.11,1406.02,1410.77,1412.92,1416.66,1423.4,1425.87,1422.97,1419.98
Philippines,PH,PHL,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC; IMF staff calculations.",ECCCV,Shrubs and/or Herbaceous Vegetation and Aquatic Or Regularly Flooded,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Shrubs and/or Herbaceous Vegetation and Aquatic Or Regularly Flooded",Climate regulating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,PH,PHL,Sparsely natural vegetated areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC; IMF staff calculations.",ECCCN,Sparsely Natural Vegetated Areas,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Sparsely Natural Vegetated Areas",Climate neutral,146.63,146.63,146.63,150.0,151.03,151.64,152.18,152.75,152.89,152.72,152.85,152.99,153.41,153.57,153.82,153.82,153.82,153.98,154.14,154.14,154.14,154.23,156.23,156.23,156.61,156.64,156.59,156.74,156.54,157.15,157.34
Philippines,PH,PHL,Terrestrial barren land,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC; IMF staff calculations.",ECCCT,Terrestrial Barren Land,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Terrestrial Barren Land",Climate neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,PH,PHL,Tree-covered areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC; IMF staff calculations.",ECCCE,Tree-Covered Areas,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Tree-Covered Areas",Climate regulating,11298.09,11298.37,11298.6,11186.75,11203.16,11206.91,11227.98,11254.31,11317.88,11335.12,11325.58,11339.28,11384.13,11393.72,11402.34,11446.15,11489.58,11538.73,11544.2,11545.51,11541.19,11538.4,11590.77,11592.28,11578.44,11570.22,11556.17,11530.0,11522.91,11541.9,11549.36
Philippines,PH,PHL,Woody crops,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC; IMF staff calculations.",ECCCR,Woody Crops,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Woody Crops",Climate regulating,5925.48,5954.91,5984.78,6058.25,6155.23,6325.62,6346.73,6364.02,6371.96,6396.35,6430.43,6450.61,6390.97,6460.56,6409.9,6355.94,6276.65,6249.29,6488.9,6400.03,6345.61,6349.41,6340.71,6353.06,6370.51,6391.85,6408.37,6427.35,6440.21,6445.34,6439.98
